mz,diff,reference,formula,formula_isotopefree,formula_ion,homseries,totalc,H.C,O.C,C,H,O,N,S,P,Cl,Na,C13
873.1362331,0.5620107,874.1440009,C_38 H_34 O_24,C38H34O24,C_38 H_33 O_24,270,38,0.895,0.632,38,34,24,0,0,0,0,0,0
873.1572312,0.7121062,874.1651301,C_35 H_38 O_26,C35H38O26,C_35 H_37 O_26,354,35,1.086,0.743,35,38,26,0,0,0,0,0,0
873.2089648,0.6067252,874.2167716,C_40 H_42 O_22,C40H42O22,C_40 H_41 O_22,291,40,1.05,0.55,40,42,22,0,0,0,0,0,0
873.2459851,0.1195981,874.253157,C_41 H_46 O_21,C41H46O21,C_41 H_45 O_21,328,41,1.122,0.512,41,46,21,0,0,0,0,0,0
873.2816341,0.7226639,874.2895424,C_42 H_50 O_20,C42H50O20,C_42 H_49 O_20,340,42,1.19,0.476,42,50,20,0,0,0,0,0,0
873.3178534,0.912641,874.3259278,C_43 H_54 O_19,C43H54O19,C_43 H_53 O_19,355,43,1.256,0.442,43,54,19,0,0,0,0,0,0
875.0940603,0.3272247,876.1016234,C_53 H_20 O_12 N_2,C53H20N2O12,C_53 H_19 O_12 N_2,7,53,0.377,0.226,53,20,12,2,0,0,0,0,0
875.1153105,0.7745286,876.1232655,C_37 H_32 O_25,C37H32O25,C_37 H_31 O_25,278,37,0.865,0.676,37,32,25,0,0,0,0,0,0
875.130582,0.7569197,876.1385216,C_41 H_32 O_22,C41H32O22,C_41 H_31 O_22,73,41,0.78,0.537,41,32,22,0,0,0,0,0,0
875.1514585,0.4601164,876.1591381,C_51 H_28 O_13 N_2,C51H28N2O13,C_51 H_27 O_13 N_2,4,51,0.549,0.255,51,28,13,2,0,0,0,0,0
875.1672447,0.4403803,876.174907,C_42 H_36 O_21,C42H36O21,C_42 H_35 O_21,77,42,0.857,0.5,42,36,21,0,0,0,0,0,0
875.1880277,0.2503118,876.1955234,C_52 H_32 O_12 N_2,C52H32N2O12,C_52 H_31 O_12 N_2,2,52,0.615,0.231,52,32,12,2,0,0,0,0,0
875.2245962,0.6265168,876.2324216,C_40 H_44 O_22,C40H44O22,C_40 H_43 O_22,340,40,1.1,0.55,40,44,22,0,0,0,0,0,0
875.2608579,0.7676178,876.268807,C_41 H_48 O_21,C41H48O21,C_41 H_47 O_21,355,41,1.171,0.512,41,48,21,0,0,0,0,0,0
875.2772898,0.5741617,876.2840631,C_45 H_48 O_18,C45H48O18,C_45 H_47 O_18,121,45,1.067,0.4,45,48,18,0,0,0,0,0,0
875.2972577,0.1660302,876.3046796,C_55 H_44 O_9 N_2,C55H44N2O9,C_55 H_43 O_9 N_2,2,55,0.8,0.164,55,44,9,2,0,0,0,0,0
875.334051,0.2856901,876.3415778,C_43 H_56 O_19,C43H56O19,C_43 H_55 O_19,361,43,1.302,0.442,43,56,19,0,0,0,0,0,0
